id,ship_name,mmsi,sog,cog,heading,nav_status,lon,lat,width,length,ship_type,p99_speed,iso_flag,iso_anomaly,p99_anomaly,speed_anomaly
1,WIM KAN,244750263,0.0,360.0,511,0,4.89655,52.37911,5,23,69,0.0,1,False,False,False
2,PIPKA,244024973,0.0,0.0,511,0,4.94021,52.37191,4,10,69,0.07300000000000005,1,False,False,False
3,MSC STELLA,352983000,0.0,135.0,135,5,18.45262,-33.91383,40,304,71,0.0,1,False,False,False
4,KRVE 59,244650597,0.0,360.0,511,0,4.1485,51.94916,4,10,40,0.09699999999999998,1,False,False,False
5,WILLI,211741170,0.0,360.0,511,5,10.05072,53.52865,6,25,37,0.0,1,False,False,False
6,SEAZIP 6,244650652,0.0,290.5,116,0,4.59085,52.45914,10,26,99,0.0,1,False,False,False
7,RT BORKUM,244130412,0.0,360.0,238,5,4.49112,51.9101,8,15,79,0.0,1,False,False,False
8,ST ERIK,265625300,0.0,107.1,511,15,11.96556,57.7121,6,35,69,0.0,1,False,False,False
9,AMOR NAVI,205469890,8.2,65.0,511,0,4.85411,51.79964,11,110,79,8.184,1,False,True,True
10,KOTA LEKAS,563172300,0.0,168.9,202,5,31.02786,-29.88056,37,255,70,0.0,1,False,False,False
11,ALBERTINA,267210214,7.2,304.3,511,0,3.7796,51.39205,12,110,69,9.04,1,False,False,False
12,JOCKA,367551860,0.0,360.0,511,4,-71.03735,42.35105,5,19,99,0.0,1,False,False,False
13,DRIELAKE,211626290,0.0,122.0,511,0,8.21036,53.1247,5,19,33,0.0,1,False,False,False
14,SPAARNEGRACHT,246452000,0.0,128.0,128,5,-76.57046,39.26006,25,168,70,0.0,1,False,False,False
15,ALPINE EAGLE,563178300,11.8,27.0,33,0,33.33152,32.63217,32,183,80,14.3,1,False,False,False
16,TENDER 15,244830655,0.0,360.0,511,15,4.48574,51.89637,4,11,69,0.988,1,False,False,False
17,HERMINE,248789000,17.2,115.6,118,0,1.85004,52.97122,32,217,70,17.5,1,False,False,False
18,BILL L LEDCOR,316029965,10.9,230.9,511,0,-122.94262,49.16094,6,16,90,10.891,1,False,True,True
19,ROCK HALL,368193830,0.2,255.0,123,12,-75.5925,39.58541,10,129,52,6.076,1,False,False,False
20,SENGLEA,215921000,0.2,124.7,57,5,14.54248,35.81642,13,25,52,5.732000000000001,1,False,False,False
21,PUTFORD DEFENDER,232017303,4.1,277.0,247,0,0.88893,54.09818,17,61,70,3.97,1,False,True,True
22,JULIET,319855000,0.0,355.8,11,5,2.62983,39.56128,9,44,37,0.0,1,False,False,False
23,THE BALTIC WHALE,219034332,0.0,150.5,206,0,11.22849,54.50309,26,148,60,0.0,1,False,False,False
24,GROSHERZOGINELISABET,211205920,0.0,267.3,198,5,8.46527,53.2359,8,47,36,0.0,1,False,False,False
25,SEAGAS,265704520,0.0,327.1,8,5,22.21718,60.44325,11,50,89,0.0,1,False,False,False
26,SKJARGARDTJENESTEN 1,257199500,0.0,89.0,133,5,10.43342,59.15568,6,15,54,0.0,1,False,False,False
27,FLORENTINA,270408000,0.0,360.0,511,0,4.46731,51.90262,10,80,69,0.0,1,False,False,False
28,SEAZIP 6,244650652,0.0,290.5,116,0,4.59085,52.45913,10,26,99,0.0,1,False,False,False
29,SY VENTOLEIRO,224429790,0.0,322.5,511,8,-8.70639,42.25736,6,22,36,0.0,1,False,False,False
30,BORG PARAT,257094290,0.0,337.4,48,0,16.54822,68.80094,10,35,52,0.0,1,False,False,False
31,ALISMA,244670157,0.0,356.1,511,5,4.22285,51.52754,12,90,80,0.0,1,False,False,False
32,EMERALD EXPRESS,304840000,10.2,307.6,302,0,-80.0639,26.08065,11,53,70,10.394,1,False,False,False
33,SALAMINOMAHOS,239414100,0.0,14.8,511,0,23.55589,37.96379,18,101,60,0.0,1,False,False,False
34,EMMALEE NICOLE,368077820,0.0,174.2,48,0,-81.53969,39.3513,18,109,57,0.0,1,False,False,False
35,DULCE DIVA,538008429,12.2,97.4,94,0,-126.2741,48.52683,32,199,70,18.078000000000003,1,False,False,False
36,MSC BERANGERE,636021665,11.6,136.7,137,0,0.13022,39.17638,51,366,74,11.6,-1,True,False,True
37,KWK EXCELSUS,564151000,0.0,142.7,143,0,-122.41558,37.92724,44,250,80,12.939,1,False,False,False
38,W-NAUTILUS,636017030,0.0,348.3,295,5,-123.05477,49.3038,38,229,70,11.662,1,False,False,False
39,AIAKOS,237592700,0.0,135.0,511,0,23.55558,37.96385,17,82,60,0.0,1,False,False,False
40,MESTRE AFONSO,204201560,0.8,20.8,511,15,-28.63994,38.51348,7,25,30,0.784,1,False,True,True
41,TERN VIK,219034365,0.0,212.6,196,5,11.87338,57.69051,22,147,89,11.3,1,False,False,False
42,GUEMES,367389230,9.3,359.1,341,0,-122.62261,48.52359,13,38,60,9.065000000000001,1,False,True,True
43,CALA MESQUIDA,225999596,0.0,316.8,255,8,2.18261,41.36488,13,25,52,5.732000000000001,1,False,False,False
44,CORMA B,244670878,0.0,360.0,511,5,5.81196,51.97001,10,80,79,0.092,1,False,False,False
45,CHRISTOS XXI,241011000,0.0,35.3,82,0,23.59571,38.02901,7,22,52,0.0,1,False,False,False
46,FAIRPLAY X,255915799,0.0,264.6,285,0,4.27392,51.34845,12,25,52,0.0,1,False,False,False
47,VB SIRIUS,245821000,4.1,195.5,187,0,3.99795,51.97224,12,30,52,11.152,1,False,False,False
48,STEN POSEIDON,255953000,0.0,90.5,321,5,0.12485,49.47062,23,144,80,10.948,1,False,False,False
49,RHEINTANK36,211507020,0.0,328.5,511,0,14.32805,48.29784,5,39,80,0.0,1,False,False,False
50,V.L.22,567070700,0.0,0.0,84,0,100.55882,13.70753,13,80,81,0.0,1,False,False,False
51,FRIENDSHIP,503345400,10.3,163.2,166,0,151.23263,-33.84398,10,25,60,12.222,1,False,False,False
52,CELINA,305256000,0.5,221.0,221,0,11.6856,57.58313,22,143,79,11.795,1,False,False,False
53,STORMVOGEL,244139608,0.0,337.3,511,5,5.90515,53.14797,5,25,37,0.0,1,False,False,False
54,NP 460,205196000,0.0,167.9,511,1,11.36168,54.64267,34,83,90,0.0,1,False,False,False
55,CETUS,367786010,2.6,42.9,200,0,-122.39066,37.79534,12,41,60,23.11,1,False,False,False
56,BF DEFENDER,235098051,0.0,227.5,259,5,1.42321,51.32957,8,25,51,0.0,1,False,False,False
57,EEMSLIFT ELLEN,244790608,0.0,96.1,243,5,3.24059,51.29429,17,111,79,0.0,1,False,False,False
58,SALLY,367012660,0.0,312.9,511,0,-75.59369,39.5866,10,24,52,5.885000000000003,1,False,False,False
59,YM UPSURGENCE,416465000,0.1,17.0,331,5,-118.2735,33.7515,43,333,74,0.1,1,False,False,False
60,RHONE,244264000,1.2,310.3,136,3,-3.12924,53.52369,12,44,33,1.2,1,False,False,False
61,VEJA,244830301,8.4,258.9,256,5,4.48435,51.83577,12,110,79,9.854999999999999,1,False,False,False
62,ASLAUG,257063770,0.1,50.7,333,5,11.30735,64.9126,5,12,70,0.1,1,False,False,False
63,BILLE,211810500,0.0,360.0,511,0,9.96532,53.54556,5,20,60,0.0,1,False,False,False
64,RIX WARRIOR,210544000,9.1,174.4,177,0,10.94165,58.15881,14,90,70,10.844,1,False,False,False
66,MARSHALL FOSS,366982320,0.1,316.2,269,5,-122.33928,47.59927,12,27,31,0.1,1,False,False,False
1680,ODYSSEY,367096310,4.1,276.4,269,0,-71.05786,42.38719,12,47,60,5.2,1,False,False,False
2834,ALPHA DOUCET,367512520,4.8,68.5,70,12,-93.79744,29.9878,17,214,57,4.8,1,False,False,False
2850,WISBY WAVE,246108000,6.9,198.7,198,0,3.80101,51.1832,15,116,80,6.9,1,False,False,False
2865,PHOENIX CROSS,235067452,0.3,293.4,300,0,-1.15413,54.60264,10,30,52,6.257,1,False,False,False
2878,STORM DIVER,232061513,0.0,255.3,180,0,-76.19101,36.92453,2,2,90,0.0,1,False,False,False
2910,PLEIJEL,265098000,0.0,49.1,75,3,18.63602,59.45556,13,85,90,0.0,1,False,False,False
2919,WATERPOORT,245779000,0.0,0.0,511,8,6.92741,53.31401,6,21,52,0.08900000000000007,1,False,False,False
2932,HOVAAGTRAAL,257396000,0.0,7.4,9,7,8.20877,58.11534,6,24,30,2.2769999999999997,1,False,False,False
2933,KRITI EPISKOPI,636020714,0.0,293.7,64,1,2.20147,41.30262,27,183,80,0.693,1,False,False,False
2939,STRUIKROVER,244070178,0.0,360.0,511,8,5.6395,52.36396,6,25,37,0.0,1,False,False,False
2942,RESCUE MATHILDA,265587000,0.0,275.2,511,0,19.08161,59.75214,3,8,51,0.08799999999999991,1,False,False,False
2960,ADVENTURE HORNBLOWER,366793760,0.0,210.3,511,5,-117.1747,32.72328,12,49,60,0.0,1,False,False,False
2973,FINO 1,211395390,0.0,331.5,511,15,6.58761,54.01482,16,16,3,0.098,1,False,False,False
2974,DINA SCOUT,255999000,0.0,273.7,268,5,4.7756,52.96083,16,77,90,0.0,1,False,False,False
2975,L 842 HELLE KARIN,219429000,0.5,305.5,272,7,8.17307,57.50063,6,22,30,0.868,1,False,False,False
2976,NAALAK NAPPAALUK,316053901,0.0,28.2,28,5,-63.6136,44.68195,18,88,51,0.0,1,False,False,False
2977,SAGAFJORD,266472000,0.1,155.0,248,0,11.69336,57.59793,13,88,80,0.1,1,False,False,False
2981,HARLE EXPRESS,211413700,0.0,0.0,127,0,7.81068,53.70971,10,43,79,0.0,1,False,False,False
2984,HALTBAKK VIKING,257571000,0.0,208.9,309,0,5.17805,60.39493,9,45,89,0.0,1,False,False,False
2999,MESSINA,244722317,0.0,360.0,167,0,4.28886,51.36277,12,135,89,0.0,1,False,False,False
3010,PROCYON,211492710,0.0,0.0,511,15,0.07245,49.36361,4,12,99,0.096,1,False,False,False
3024,GULF ENERGY,538001388,0.0,11.7,511,5,5.29995,59.35906,44,285,80,0.0,1,False,False,False
3027,VOLHARDING 1,269057040,4.2,81.9,79,0,6.2146,53.23713,12,110,80,10.456,1,False,False,False
3028,PRINS JOHAN FRISO,244780646,0.0,360.0,511,0,4.89337,52.36789,4,18,69,0.1,1,False,False,False
3030,ESVAGT CHAMPION,219010518,0.4,353.0,131,0,1.78735,53.01179,12,48,51,0.598,1,False,False,False
3034,KITIKMEOT W,538090714,12.3,140.0,140,0,19.09415,60.13775,23,150,80,12.282,1,False,True,True
3043,KWK EXCELSUS,564151000,0.0,142.7,143,0,-122.41557,37.92722,44,250,80,12.939,1,False,False,False
3044,AMARONE,244023900,0.0,268.4,511,15,4.74896,52.53091,5,30,38,0.0,1,False,False,False
3048,MARTHA,244730653,0.0,360.0,511,0,4.91443,52.34397,5,31,37,0.0,1,False,False,False
3195,STACY LYNN,368156330,2.8,46.7,45,12,-81.4652,39.40175,14,44,52,2.8,1,False,False,False
3212,SVITZER MUIDEN,246115000,0.0,68.0,345,8,4.77764,52.40059,12,30,52,11.152,1,False,False,False
3216,RESCUE A ISAKSON,265530860,0.0,244.7,39,0,18.32577,59.38795,4,12,51,0.08699999999999992,1,False,False,False
3259,UK93 JANNETJE,245449000,6.4,97.0,96,7,5.05603,53.33497,6,20,30,6.081000000000002,1,False,True,True
3266,INVENTORY,205509290,6.4,200.5,199,0,3.92236,51.42425,12,110,80,10.456,1,False,False,False
3268,UNIVERSAL MK 2006,477509000,0.2,360.0,87,9,114.15416,22.31069,12,45,40,0.2,1,False,False,False
3269,OSTERTOR,211772110,0.0,360.0,511,0,8.8234,53.06835,4,13,69,0.0,1,False,False,False
3270,TIAN XI,563226500,13.5,252.5,254,0,-0.92407,50.3359,29,190,70,13.597999999999999,1,False,False,False
3271,FLORENTINA,270408000,0.0,360.0,511,0,4.46732,51.9026,10,80,69,0.0,1,False,False,False
3276,MUENSTERLAND,211214970,0.0,105.3,105,5,6.83358,53.45586,12,94,65,0.0,1,False,False,False
3278,JASMIN,205507090,0.0,360.0,511,5,3.67597,51.09076,10,85,79,0.0,1,False,False,False
3297,TARMO,230196150,0.0,360.0,511,0,3.81295,51.55135,5,20,37,0.0,1,False,False,False
3301,WANDELAAR,244890312,0.0,360.0,511,15,5.64117,52.37582,7,22,0,0.0,1,False,False,False
3302,IOSIF SHMELKIN,273449380,11.1,267.3,266,0,10.191,57.84623,16,93,30,11.1,1,False,False,False
3304,FAIRPLAY-23,305918000,0.0,64.9,285,0,4.27572,51.34804,11,36,52,0.0,1,False,False,False
3306,HAGLAND PROGRESS,257186000,0.0,339.7,153,5,11.44338,53.9088,15,87,70,10.5,1,False,False,False
3312,ODYSSEY,367096310,2.9,214.7,204,0,-71.05913,42.38692,12,47,60,5.2,1,False,False,False
3315,ISLAND VIKING,368637000,6.2,280.4,276,12,-122.36865,47.58966,10,164,52,6.67,1,False,False,False
3318,JAKOB PREI,276798000,0.0,132.9,122,5,24.71788,59.45784,13,23,90,0.0,1,False,False,False
3321,BRISTOL LEADER,366820000,0.0,0.0,0,0,-122.3903,47.66697,10,50,30,0.09500000000000003,1,False,False,False
3324,SARA,367705810,4.4,283.5,511,5,-80.22534,25.78615,8,16,31,4.384,1,False,True,True
3325,EMMALEE NICOLE,368077820,0.0,174.2,48,0,-81.53966,39.35132,18,109,57,0.0,1,False,False,False
3326,LOBELIA,205578390,0.0,360.0,511,0,4.77434,52.41883,12,110,80,10.456,1,False,False,False
3328,WESTERN ENDEAVOUR,250190000,0.0,34.3,347,0,-8.68963,42.25955,13,71,30,0.0,1,False,False,False
3332,MONET,253242509,8.3,353.4,511,0,5.07837,52.09262,12,110,69,9.04,1,False,False,False
3335,SEIYU,352737000,0.5,245.5,307,0,152.00148,-33.02544,32,229,70,13.667,1,False,False,False
3341,BUNUN NOBLE,636020142,2.3,69.3,30,0,-124.34311,46.13522,30,180,70,12.9,1,False,False,False
3342,TERNAN,265510570,0.1,176.6,79,4,19.01706,59.62546,6,30,69,0.18900000000000006,1,False,False,False
65,AQUILA,563271700,8.8,91.2,94,0,7.37999,54.15603,32,183,82,13.394,1,False,False,False
1681,VELA,232047530,0.0,240.5,38,5,23.64777,37.93634,8,31,37,0.0,1,False,False,False
1733,SKOY,257195800,0.0,266.1,511,0,7.97677,58.10718,5,14,37,0.0,1,False,False,False
1737,FJAERLANDSFJORD,257238800,0.0,218.0,511,5,5.24147,59.61018,6,26,60,0.0,1,False,False,False
1747,PROTUG 87,376865000,0.0,221.9,247,5,23.54917,37.9498,13,42,99,0.0,1,False,False,False
1749,BRU 48 ADRIAAN,246439000,0.0,360.0,511,8,5.41112,53.17066,9,33,30,0.0,1,False,False,False
1750,PROGRESS,244690849,0.0,360.0,23,5,4.74496,52.56909,9,86,20,0.0,1,False,False,False
1760,GREEN MASTER,244050578,0.0,0.0,511,0,5.75949,50.9786,7,73,79,6.394,1,False,False,False
1765,NAGATO,431002998,0.0,239.3,176,0,131.20299,34.39084,9,33,52,0.0,1,False,False,False
1771,PAULINE,249600000,15.6,117.9,122,0,2.33654,51.52553,31,203,79,15.597999999999999,1,False,True,True
1779,KERTU,256956000,10.5,253.4,254,0,22.89701,59.57275,15,101,79,10.5,1,False,False,False
1784,VENDETTA,205567590,0.0,360.0,511,5,5.11509,52.02316,10,80,79,0.092,1,False,False,False
1786,RESCUE LEIF JOHANSON,265702340,0.0,270.7,29,15,18.36801,59.4029,4,12,51,0.08699999999999992,1,False,False,False
1791,PACIFIC MOON,314175000,14.6,201.6,204,0,19.7499,57.38255,32,205,80,14.6,1,False,False,False
1794,PILOT20,261008236,0.0,354.6,65,5,18.65261,54.40573,4,15,50,18.228,1,False,False,False
1836,HMT THOR,257133530,0.0,45.2,224,0,14.37258,67.28353,15,26,90,0.0,1,False,False,False
1837,LISSKJAER,257004980,0.0,360.0,511,0,12.12767,65.67613,5,11,70,0.0,1,False,False,False
1841,STI BRONX,538005418,13.6,258.3,255,0,-8.32041,51.08284,32,183,80,14.3,1,False,False,False
1842,SCANBIO DART,257371000,0.0,342.7,228,0,9.87241,63.88831,10,66,71,0.0,1,False,False,False
1843,PAUL C LEDCOR,316001222,0.0,159.4,511,0,-123.10116,49.19827,7,19,52,0.0,1,False,False,False
1857,OPHELIA,219001214,0.0,360.0,108,0,12.61325,56.04165,6,15,33,0.0,1,False,False,False
1858,PELAGUS,205540690,9.3,275.6,511,0,5.63773,51.89932,24,110,79,9.596,1,False,False,False
1861,OLYMPIOS ERMIS,240563500,0.0,241.3,133,0,26.98656,36.94723,9,43,60,0.0,1,False,False,False
1865,VOX ALEXIA,245734000,1.8,289.8,310,3,-8.10532,37.00763,28,138,70,1.8,1,False,False,False
1888,FAIRPLAY-96,255917268,0.0,287.6,323,0,4.30456,51.89064,13,25,52,5.732000000000001,1,False,False,False
1890,SPICA,247333900,0.0,340.3,511,5,13.76625,45.65806,12,34,54,0.0,1,False,False,False
1902,HHLA IV,211744060,0.0,360.0,511,5,9.95402,53.52769,23,43,53,0.0,1,False,False,False
2002,LEDA,244660537,0.0,11.8,511,15,7.20539,53.35888,4,17,52,0.0,1,False,False,False
2041,AFRICAN NIGHTJAR,636023545,10.5,291.0,293,0,-0.17492,49.51237,30,180,70,12.9,1,False,False,False
2045,WATERMAN,244710818,0.0,93.4,511,8,4.85945,52.3969,4,14,52,0.096,1,False,False,False
2046,HORIZON GEODRILL,232064539,0.0,19.1,110,5,-3.17067,55.98088,19,82,79,0.0,1,False,False,False
2057,RESCUE B MELLGREN,265001160,0.1,255.9,511,0,11.61931,57.77207,3,8,51,0.08799999999999991,1,False,True,True
2058,RWS 88,244650398,0.0,295.9,511,0,3.82592,51.33304,5,19,99,0.0,1,False,False,False
2065,NEPTUN 44,244700145,0.0,360.0,511,0,5.8517,51.8521,5,23,99,0.0,1,False,False,False
2071,PATRIA SEAWAYS,277291000,0.0,86.4,259,5,11.94286,57.70142,24,154,61,0.0,1,False,False,False
2289,SEA CAT,367566130,0.0,221.3,511,0,-91.12156,29.64908,6,14,52,0.0,1,False,False,False
2294,ELSA B,701906228,5.5,267.1,511,0,-58.26181,-34.60695,16,80,70,5.797,1,False,False,False
2297,JADE,211286490,0.0,267.3,267,5,8.14951,53.51335,7,30,55,0.0,1,False,False,False
2308,KRVE 86,244030117,0.0,360.0,511,0,4.4313,51.89943,6,22,159,0.098,1,False,False,False
2309,OV MYKEN,257241500,0.0,8.7,258,0,8.60727,58.35471,3,12,70,0.0,1,False,False,False
2325,BLAUWE VIS,244013600,0.0,360.0,511,15,4.49729,51.92069,5,22,37,0.0,1,False,False,False
2327,NOBILING,244670751,0.0,0.0,511,15,5.8708,51.84912,6,29,37,0.0,1,False,False,False
2331,ELANORA,311000890,0.3,217.0,145,1,153.27082,-26.80622,31,183,70,0.5939999999999999,1,False,False,False
2355,SYDNES,258007330,0.0,184.9,511,15,5.31298,60.39242,5,15,90,0.0,1,False,False,False
2356,LUCITA,255724000,1.3,154.3,162,5,4.66728,52.47086,18,108,70,1.2399999999999995,1,False,True,True
2360,VB ROENNEBECK,211717470,0.0,194.3,326,0,8.56599,53.55137,9,30,52,3.8,1,False,False,False
2365,IJSLAND,244780264,0.0,228.5,511,0,5.82749,51.85869,6,22,79,0.0,1,False,False,False
2366,DULCE DIVA,538008429,12.1,95.2,92,0,-126.2607,48.52581,32,199,70,18.078000000000003,1,False,False,False
2368,EIDVAAGFISK,259295000,0.0,299.3,255,7,31.03397,70.36846,6,21,30,0.0,1,False,False,False
2385,KROONBORG,244830399,0.0,27.4,118,0,2.62573,53.45186,16,80,90,0.096,1,False,False,False
2440,SOURAYA,248755000,0.0,276.0,273,8,22.80041,37.56964,8,39,37,0.0,1,False,False,False
2444,STRELITZIA,205385190,0.0,51.2,511,5,4.26784,51.50292,10,105,79,4.023,1,False,False,False
2492,ISLAND VIKING,368637000,4.8,286.0,279,12,-122.36765,47.58953,10,164,52,6.67,1,False,False,False
2514,PIPKA,244024973,0.0,348.4,511,0,4.94022,52.3719,4,10,69,0.07300000000000005,1,False,False,False
2515,MSC MEXICO V,636015496,0.0,58.0,157,5,-81.13552,32.12375,32,294,79,0.098,1,False,False,False
2516,TANTEYEN II,259034410,0.1,360.0,511,0,14.55656,67.27754,6,16,70,0.1,1,False,False,False
2536,VLB-7,244650886,8.6,125.1,130,0,3.70176,51.45279,4,13,52,8.6,1,False,False,False
2538,NORTH DAKOTA,244094246,10.1,172.1,511,0,4.22164,51.48985,12,110,80,10.456,1,False,False,False
2548,EVER FORTUNE,352005459,12.7,215.0,210,0,121.3199,25.34402,30,180,70,12.9,1,False,False,False
2558,MULTRATUG 33,244030522,0.2,25.5,163,3,3.81559,51.33879,14,30,31,0.2,1,False,False,False
2563,CAPT. JACK HIGMAN,367323230,0.0,334.1,58,5,-95.11132,29.74661,17,114,57,0.0,1,False,False,False
67,INVENTORY,205509290,6.5,199.6,200,0,3.92536,51.42941,12,110,80,10.456,1,False,False,False
1682,R177 DUEODDE,220072000,2.1,60.5,53,7,10.86915,57.57508,5,15,30,4.516999999999998,1,False,False,False
1701,EVER CHAMP,563213800,0.0,249.4,349,5,23.58824,37.95631,28,172,74,0.09699999999999998,1,False,False,False
1711,SENDO MARE,244181802,7.6,81.9,511,5,4.51788,51.69339,15,124,79,7.7,1,False,False,False
1732,DALE PYATT,367766220,0.0,50.9,511,3,-76.48316,39.1966,20,50,33,0.0,1,False,False,False
1782,COMMANDER,368206360,0.0,200.0,218,0,-122.49571,47.51305,13,43,40,0.0,1,False,False,False
1807,ALBACORE,259205000,0.0,52.0,322,15,5.16047,61.91622,6,26,30,2.8,1,False,False,False
1816,ISABELLE,244153120,0.0,360.0,511,15,4.40637,51.22865,6,23,37,0.0,1,False,False,False
1826,STAR CHALLENGER,636025065,0.0,313.0,1,5,4.4034,51.25622,32,200,70,19.579,1,False,False,False
1834,AEGLE,211489210,0.0,220.9,511,5,4.23493,51.43632,11,110,80,7.628,1,False,False,False
1838,DEVEL,244925209,0.0,360.0,511,0,4.41655,51.89649,8,31,69,0.0,1,False,False,False
1839,FLANDRIA 9,205440090,0.0,360.0,511,3,4.35781,51.25128,6,30,0,0.0,1,False,False,False
1840,OSTREA,244670126,0.0,339.7,511,0,4.48792,51.89979,9,85,70,0.0,1,False,False,False
1882,LEMWERDER2,211541040,0.0,0.0,511,0,8.61795,53.16659,15,58,69,0.0,1,False,False,False
1917,NORMAND SAMSON,257311000,0.0,248.7,251,5,-79.96705,32.86328,26,121,90,0.0,1,False,False,False
1997,BUNKER SERVICE 12,211513110,0.0,336.3,511,0,8.7407,53.10718,7,35,99,0.0,1,False,False,False
2011,BERGENSFJORD,219348000,17.2,277.3,278,0,7.12672,57.93269,27,170,60,17.198,1,False,True,True
2014,JURIE VAN DEN BERG,211270480,0.0,259.0,209,5,5.41508,53.17996,8,36,30,0.0,1,False,False,False
2017,CG MOBILE BAY,366999979,0.1,358.0,511,5,-87.38039,44.8291,16,79,90,0.1,1,False,False,False
2024,BENTHIC HARVESTER,368284160,0.0,130.8,166,5,-70.91564,41.6278,10,34,30,3.4,1,False,False,False
2064,KOREVAER,244700154,0.0,360.0,511,15,5.03916,52.45938,5,39,69,0.0,1,False,False,False
2070,LIDA,244700380,0.0,360.0,511,0,4.66793,52.46756,7,50,80,0.0,1,False,False,False
2072,HAGLAND BORG,258709000,10.0,311.5,315,0,5.75732,58.46258,13,88,75,10.0,1,False,False,False
2086,VITESSE,244010031,0.0,356.8,206,5,3.71307,51.47026,12,110,79,9.854999999999999,1,False,False,False
2098,KNRM-FRANS HOGEWIND,246281000,0.1,272.0,109,0,5.24925,53.39897,4,11,51,93.10200000000002,1,False,False,False
2109,LYTSE HYLKE,244700695,0.0,360.0,511,8,5.36148,52.88356,6,31,69,0.0,1,False,False,False
2120,LIVA IMAMOGLU,271049621,5.2,303.6,309,0,-0.19587,39.36027,17,99,70,7.265,1,False,False,False
2133,RESCUE VIALLA,265001070,0.0,196.8,6,0,19.08188,59.75216,4,15,51,0.0,1,False,False,False
2134,NIRVANA,244040391,0.1,360.0,511,0,4.91744,52.33525,4,11,69,0.988,1,False,False,False
2136,PUERTO LIMON EXPRESS,636024483,11.1,218.0,219,0,8.29053,57.09672,30,210,70,11.199,1,False,False,False
2157,OEVELGOENNE,211151080,0.0,323.1,511,0,10.09511,53.44789,8,29,60,0.0,1,False,False,False
2159,KARTEPE,271002451,0.0,360.0,511,0,28.27936,36.84906,10,36,90,0.0,1,False,False,False
2190,BSC CONTENDER,235094715,0.0,164.2,166,5,1.42107,51.32961,8,24,51,0.0,1,False,False,False
2219,THETIS,245354000,2.2,29.7,333,0,4.58736,52.46158,12,29,52,2.1399999999999997,1,False,True,True
2222,BAHRI GHADAH,403799001,0.0,219.1,193,5,115.75488,-32.24157,32,200,79,0.0,1,False,False,False
2227,GREENWOOD   TIDE,345070277,0.0,213.8,511,0,-91.10071,29.65852,13,75,90,0.0,1,False,False,False
2231,OCEAN COMEAU,316001103,4.8,196.0,197,0,-73.16083,46.03105,11,30,52,7.681,1,False,False,False
2243,BOS PRELUDE,253000039,0.3,220.3,237,0,2.86136,52.66815,16,74,90,0.299,1,False,True,True
2244,SCELVERINGHE,244476000,14.1,79.3,80,0,3.35987,51.40171,18,117,33,14.1,1,False,False,False
2246,MODENA,244670573,2.0,204.5,511,0,5.82093,51.85277,10,105,79,4.023,1,False,False,False
2249,F/V SIRIUS PD-70,235095634,9.1,155.7,154,7,0.31077,50.54469,8,40,99,9.099,1,False,True,True
2250,O3,538072318,0.0,81.1,278,5,9.95565,53.53999,18,109,0,0.0,1,False,False,False
2264,HURST POINT,235500000,5.8,91.1,92,0,-1.60299,50.49967,26,193,70,5.8,1,False,False,False
2284,MFS SHIFTER,368217380,0.0,321.7,511,15,-93.86038,29.96903,8,17,31,0.0,1,False,False,False
2318,BOKNAFJORD,257144700,12.2,113.9,113,0,5.47841,59.16824,20,130,60,12.2,1,False,False,False
2321,AYER MANIS,563001270,0.3,318.8,511,8,103.79838,1.22391,8,48,80,0.3,1,False,False,False
2336,HAVFISK,257986000,0.0,161.4,259,0,6.33247,62.47572,16,75,30,0.0,1,False,False,False
2346,XIN MING ZHU XVI,477997147,0.6,235.0,311,5,114.15102,22.31738,11,45,40,0.595,1,False,True,True
2348,RAINER ABICHT,211184660,0.0,0.0,0,0,9.97149,53.54489,5,18,99,0.0,1,False,False,False
2350,HOVEDOYA II,258001750,0.0,323.0,72,0,10.74763,59.88693,8,20,79,0.0,1,False,False,False
2352,XANTHIA,257970000,11.9,59.4,61,0,12.72069,54.75597,22,147,84,11.9,1,False,False,False
2353,NOORDPOOL,244057587,0.0,52.7,511,0,4.3798,51.90365,6,20,52,5.543999999999993,1,False,False,False
2354,ANL TASMAN TRADER,352001683,0.0,34.0,212,5,153.1736,-27.36773,23,142,74,0.0,1,False,False,False
2357,RESCUE LILLIE VIVEST,265791720,0.0,360.0,511,15,17.5535,58.89031,3,8,51,0.08799999999999991,1,False,False,False
2361,SY A,667002036,0.0,18.2,92,1,13.72602,45.66063,25,143,36,0.0,1,False,False,False
2363,BOW SIRIUS,258910000,0.4,111.0,138,0,31.18477,-29.81649,32,183,80,14.3,1,False,False,False
2364,NUGGET,309924000,0.0,63.5,253,1,10.61339,57.62399,44,255,80,0.0,1,False,False,False
2379,RULICIA,244312797,7.0,59.2,511,0,5.53593,51.8958,12,110,79,9.854999999999999,1,False,False,False
2404,GOLDEN GARDENIA,255917261,0.0,99.5,200,5,0.18344,49.48203,15,100,80,0.0,1,False,False,False
2408,SARINA,244630697,0.0,347.0,511,5,4.95078,51.82934,15,135,79,0.0,1,False,False,False
2409,DEZI,244710657,8.8,267.0,511,0,4.99917,52.3685,12,135,79,11.3,1,False,False,False
68,CANNETO M,247242200,0.0,180.6,170,0,-6.93927,37.20318,23,161,89,0.0,1,False,False,False
1683,VLIEGENDE DRAECK,244660936,0.0,360.0,511,0,5.41579,53.17253,6,39,69,0.0,1,False,False,False
